Row_ID,Entry_ID,Order_Date,Ship_Date,Customer,Shipping_Agency,Avergae_shipping_time_in_Days,Cost:_up_to_1lbs_(JMD),Parish,Parking,_Efficient_Staff,Pick_up_wait_tme,Outbound_Shipping,Product_ID,Category,Sub-Category,Product_Name,Quantity,Processing_fee,Total_cost,Customer_review
21,CA-2014-143336,12/9/2019,12/14/2019,Zuschuss Donatelli,My cart-Kingston,7,$600.00 ,Kingston,5,5,4, -   ,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",4,20%,"$2,880.00 ",Quality Customer Service
22,CA-2016-137330,3/23/2020,3/27/2020,Shipme,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,OFF-AR-10000246,Office Supplies,Art,Newell 318,7,0%,"$4,368.00 ",Great Time
23,CA-2016-137330,3/23/2020,3/27/2020,Shipme,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",7,0%,"$4,368.00 ",Unbeatable
24,US-2017-156909,10/28/2020,10/30/2020,Sandra Flanagan,HT Courier-Kingston,5,$500.00 ,Kingston,5,4,4, -   ,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",2,30%,"$1,300.00 ",Good Prices
25,CA-2015-106320,1/7/2019,1/12/2019,Emily Burns,My cart-Kingston,7,$600.00 ,Kingston,5,5,4, -   ,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,3,0%,"$1,800.00 ",Professional
26,CA-2016-121755,4/30/2019,5/4/2019,Eric Hoffmann,DHL-St. Andrew,4,"$2,272.73 ",St. Andrew,4,3,5, -   ,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,2,20%,"$5,454.55 ",Speedy Devlivery 
27,CA-2016-121755,4/30/2019,5/4/2019,Eric Hoffmann,DHL-St. Andrew,4,"$2,272.73 ",St. Andrew,4,3,5, -   ,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,3,0%,"$6,818.18 ",Courteryous 
28,US-2015-150630,12/30/2020,1/3/2019,Tracy Blumstein,Tara Courier-St. James,3,$624.00 ,St. James,3,3,2,4,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",7,50%,"$6,552.00 ",Very Log Wait
29,US-2015-150630,12/30/2020,1/3/2019,Tracy Blumstein,Tara Courier-St. James,3,$624.00 ,St. James,3,3,2,4,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,2,70%,"$2,121.60 ",Fast
30,US-2015-150630,12/30/2020,1/3/2019,Tracy Blumstein,Tara Courier-St. James,3,$624.00 ,St. James,3,3,2,4,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",3,20%,"$2,246.40 ",Unprofessional
31,US-2015-150630,12/30/2020,1/3/2019,Tracy Blumstein,Tara Courier-St. James,3,$624.00 ,St. James,3,3,2,4,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,2,20%,"$1,497.60 ",Quality Customer Service
32,US-2015-150630,12/30/2020,1/3/2019,Tracy Blumstein,Tara Courier-St. James,3,$624.00 ,St. James,3,3,2,4,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",6,20%,"$4,492.80 ",Fast
33,US-2015-150630,12/30/2020,1/3/2019,Tracy Blumstein,Tara Courier-St. James,3,$624.00 ,St. James,3,3,2,4,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6,70%,"$6,364.80 ",Very Log Wait
34,US-2015-150630,12/30/2020,1/3/2019,Tracy Blumstein,Tara Courier-St. James,3,$624.00 ,St. James,3,3,2,4,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,2,20%,"$1,497.60 ",Cheapest Shipping Company
35,CA-2017-107727,1/31/2021,2/4/2021,Matt Abelman,HT Courier-Kingston,5,$500.00 ,Kingston,5,4,4, -   ,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,3,20%,"$1,800.00 ",Very Log Wait
36,CA-2016-117590,3/22/2020,3/24/2020,Gene Hale,My cart-Kingston,7,$600.00 ,Kingston,5,5,4, -   ,TEC-PH-10004977,Technology,Phones,GE 30524EE4,7,20%,"$5,040.00 ",No Partking
37,CA-2016-117590,3/22/2020,3/24/2020,Gene Hale,My cart-Kingston,7,$600.00 ,Kingston,5,5,4, -   ,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5,60%,"$4,800.00 ",Speed
38,CA-2015-117415,4/10/2019,4/14/2019,Steve Nguyen,Mailpac-St. James,5,"$1,248.00 ",St. James,2,2,4,3,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",9,20%,"$13,478.40 ",Friendly
39,CA-2015-117415,4/10/2019,4/14/2019,Steve Nguyen,Mailpac-St. James,5,"$1,248.00 ",St. James,2,2,4,3,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3,32%,"$4,942.08 ",Speed
40,CA-2015-117415,4/10/2019,4/14/2019,Steve Nguyen,Mailpac-St. James,5,"$1,248.00 ",St. James,2,2,4,3,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",3,30%,"$4,867.20 ",Speedy Devlivery 
41,CA-2015-117415,4/10/2019,4/14/2019,Steve Nguyen,Mailpac-St. James,5,"$1,248.00 ",St. James,2,2,4,3,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,4,20%,"$5,990.40 ",Cheapest Shipping Company
42,CA-2017-120999,12/23/2020,12/28/2020,Linda Cazamias,Ship things-Kingston,5,$500.00 ,Kingston,3,5,4, -   ,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,4,20%,"$2,400.00 ",Courteryous 
43,CA-2016-101343,10/30/2019,11/4/2019,Ruben Ausman,Ship things-Kingston,5,$500.00 ,Kingston,3,5,4, -   ,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",2,0%,"$1,000.00 ",Friendly
44,CA-2017-139619,1/1/2021,1/5/2021,Erin Smith,Tara Courier-Kingston,3,$624.00 ,Kingston,2,3,5,4,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2,20%,"$1,497.60 ",Effeciency 
45,CA-2016-118255,6/24/2019,6/26/2019,Odella Nelson,MD Courier-Kingston,10,$500.00 ,Kingston,4,4,5, -   ,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2,0%,"$1,000.00 ",Limited Parking
46,CA-2016-118255,6/24/2019,6/26/2019,Odella Nelson,MD Courier-Kingston,10,$500.00 ,Kingston,4,4,5, -   ,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,2,0%,"$1,000.00 ",Unbeatable
47,CA-2014-146703,2/1/2020,2/6/2020,Patrick O'Donnell,Mailpac-St. James,5,"$1,248.00 ",St. James,2,2,4,3,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4,0%,"$4,992.00 ",Good Prices
48,CA-2016-169194,10/3/2019,10/8/2019,Lena Hernandez,Shipme-Kingston,7,$702.00 ,Kingston,4,2,5,3,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3,0%,"$2,106.00 ",Courteryous 
49,CA-2016-169194,10/3/2019,10/8/2019,Lena Hernandez,Shipme-Kingston,7,$702.00 ,Kingston,4,2,5,3,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2,0%,"$1,404.00 ",Speedy Devlivery 
50,CA-2015-115742,7/31/2020,8/4/2020,Darren Powers,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",6,0%,"$3,744.00 ",Cheapest Shipping Company
51,CA-2015-115742,7/31/2020,8/4/2020,Darren Powers,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,OFF-LA-10002762,Office Supplies,Labels,Avery 485,6,0%,"$3,744.00 ",Good Prices
52,CA-2015-115742,7/31/2020,8/4/2020,Darren Powers,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,2,0%,"$1,248.00 ",Unbeatable
53,CA-2015-115742,7/31/2020,8/4/2020,Darren Powers,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",1,0%,$624.00 ,Fast
54,CA-2016-105816,3/25/2020,3/31/2020,Janet Molinari,Oak connect-St. Catherine,10,$450.00 ,St. Catherine,1,2,4, -   ,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,7,0%,"$3,150.00 ",Professional
55,CA-2016-105816,3/25/2020,3/31/2020,Janet Molinari,Oak connect-St. Catherine,10,$450.00 ,St. Catherine,1,2,4, -   ,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,5,0%,"$2,250.00 ",Good Prices
56,CA-2016-111682,9/30/2019,10/1/2019,Ted Butterfield,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,6,0%,"$3,744.00 ",Professional
57,CA-2016-111682,9/30/2019,10/1/2019,Ted Butterfield,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,5,0%,"$3,120.00 ",Professional
58,CA-2016-111682,9/30/2019,10/1/2019,Ted Butterfield,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,5,10%,"$3,432.00 ",Limited Parking
59,CA-2016-111682,9/30/2019,10/1/2019,Ted Butterfield,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",2,0%,"$1,248.00 ",Limited Parking
60,CA-2016-111682,9/30/2019,10/1/2019,Ted Butterfield,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2,0%,"$1,248.00 ",Good Prices
61,CA-2016-111682,9/30/2019,10/1/2019,Ted Butterfield,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,4,20%,"$2,995.20 ",Cheapest Shipping Company
62,CA-2016-111682,9/30/2019,10/1/2019,Ted Butterfield,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1,0%,$624.00 ,Good Prices
63,CA-2015-135545,3/8/2019,3/14/2019,Kunst Miller,Reliable Couriers-St. Catherine,3,$750.00 ,St. Catherine, -   ,4,2, -   ,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2,0%,"$1,500.00 ",Long Line
64,CA-2015-135545,3/8/2019,3/14/2019,Kunst Miller,Reliable Couriers-St. Catherine,3,$750.00 ,St. Catherine, -   ,4,2, -   ,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6,20%,"$5,400.00 ",Courteryous 
65,CA-2015-135545,3/8/2019,3/14/2019,Kunst Miller,Reliable Couriers-St. Catherine,3,$750.00 ,St. Catherine, -   ,4,2, -   ,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,3,0%,"$2,250.00 ",Speedy Devlivery 
66,CA-2015-135545,3/8/2019,3/14/2019,Kunst Miller,Reliable Couriers-St. Catherine,3,$750.00 ,St. Catherine, -   ,4,2, -   ,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,4,0%,"$3,000.00 ",Unbeatable
67,US-2015-164175,8/12/2020,8/17/2020,Paul Stevenson,Tara Courier-Kingston,3,$624.00 ,Kingston,2,3,5,4,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",5,30%,"$4,056.00 ",Effeciency 
68,CA-2014-106376,3/19/2020,3/24/2020,Brendan Sweed,Flash ship Courier-St. Catherine,4,$700.00 ,St. Catherine, -   ,2,5, -   ,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8,20%,"$6,720.00 ",Fast
69,CA-2014-106376,3/19/2020,3/24/2020,Brendan Sweed,Flash ship Courier-St. Catherine,4,$700.00 ,St. Catherine, -   ,2,5, -   ,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,4,20%,"$3,360.00 ",Fast
70,CA-2016-119823,9/17/2019,9/19/2019,Karen Daniels,AKW shipping-Kingston,10,$600.00 ,Kingston, -   ,5,3, -   ,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2,0%,"$1,200.00 ",Speedy Devlivery 
71,CA-2016-106075,1/1/2020,1/6/2020,Henry MacAllister,DHL-St. Ann,4,"$2,272.73 ",St. Ann,4,2,3, -   ,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,1,20%,"$2,727.27 ",Very Log Wait
72,CA-2017-114440,12/27/2020,12/30/2020,Tracy Blumstein,Tara Courier-St. James,3,$624.00 ,St. James,3,3,2,4,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3,0%,"$1,872.00 ",Professional
73,US-2015-134026,8/8/2020,8/14/2020,Joel Eaton,Tara Courier-Manchester,3,$624.00 ,Manchester,1,3,3,4,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,8,20%,"$5,990.40 ",Speedy Devlivery 
74,US-2015-134026,8/8/2020,8/14/2020,Joel Eaton,Tara Courier-Manchester,3,$624.00 ,Manchester,1,3,3,4,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",2,20%,"$1,497.60 ",Effeciency 
75,US-2015-134026,8/8/2020,8/14/2020,Joel Eaton,Tara Courier-Manchester,3,$624.00 ,Manchester,1,3,3,4,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,1,20%,$748.80 ,Speedy Devlivery 
76,US-2017-118038,3/23/2021,3/25/2021,Ken Brennan,Circles logistics-Kingston,3,$624.00 ,Kingston,2,4,5, -   ,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,3,80%,"$3,369.60 ",Reseanable Cost
77,US-2017-118038,3/23/2021,3/25/2021,Ken Brennan,Circles logistics-Kingston,3,$624.00 ,Kingston,2,4,5, -   ,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",3,60%,"$2,995.20 ",Long Line
78,US-2017-118038,3/23/2021,3/25/2021,Ken Brennan,Circles logistics-Kingston,3,$624.00 ,Kingston,2,4,5, -   ,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3,20%,"$2,246.40 ",Unbeatable
79,US-2014-147606,3/10/2020,3/15/2020,Joel Eaton,Tara Courier-Manchester,3,$624.00 ,Manchester,1,3,3,4,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5,60%,"$4,992.00 ",Reseanable Cost
80,CA-2016-127208,9/25/2019,9/28/2019,Stewart Carmichael,JB’s clearance-St. Catherine,7,$624.00 ,St. Catherine, -   ,3,5, -   ,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,0%,$624.00 ,Good Condtion
81,CA-2016-127208,9/25/2019,9/28/2019,Stewart Carmichael,JB’s clearance-St. Catherine,7,$624.00 ,St. Catherine, -   ,3,5, -   ,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,3,0%,"$1,872.00 ",Friendly
82,CA-2014-139451,1/24/2020,1/28/2020,Duane Noonan,JB’s clearance-St. Catherine,7,$624.00 ,St. Catherine, -   ,3,5, -   ,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",5,0%,"$3,120.00 ",Limited Parking
83,CA-2014-139451,1/24/2020,1/28/2020,Duane Noonan,JB’s clearance-St. Catherine,7,$624.00 ,St. Catherine, -   ,3,5, -   ,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",1,0%,$624.00 ,Quality Customer Service
84,CA-2015-149734,12/16/2020,12/21/2020,Julie Creighton,Press ship Ja-Kingston,5,$450.00 ,Kingston,2,3,3, -   ,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,7,20%,"$3,780.00 ",Reseanable Cost
85,US-2017-119662,2/25/2021,2/28/2021,Christopher Schild,Reliable Couriers-St. Catherine,3,$750.00 ,St. Catherine, -   ,4,2, -   ,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,3,20%,"$2,700.00 ",Courteryous 
86,CA-2017-140088,9/9/2020,9/11/2020,Patrick O'Donnell,Mailpac-St. James,5,"$1,248.00 ",St. James,2,2,4,3,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,2,0%,"$2,496.00 ",Speedy Devlivery 
87,CA-2017-155558,2/7/2021,2/14/2021,Paul Gonzalez,Flash ship Courier-St. Catherine,4,$700.00 ,St. Catherine, -   ,2,5, -   ,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,1,0%,$700.00 ,Reseanable Cost
88,CA-2017-155558,2/7/2021,2/14/2021,Paul Gonzalez,Flash ship Courier-St. Catherine,4,$700.00 ,St. Catherine, -   ,2,5, -   ,OFF-LA-10000134,Office Supplies,Labels,Avery 511,2,0%,"$1,400.00 ",Professional
89,CA-2016-159695,7/19/2019,7/24/2019,Gary Mitchum,Smart post JM-Kingston,5,$700.00 ,Kingston,1,4,3, -   ,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,7,20%,"$5,880.00 ",Very Log Wait
90,CA-2016-109806,12/31/2019,1/5/2020,Jim Sink,Tara Courier-St. Ann,3,$624.00 ,St. Ann,5,2,4,4,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,3,0%,"$1,872.00 ",Great Time
91,CA-2016-109806,12/31/2019,1/5/2020,Jim Sink,Tara Courier-St. Ann,3,$624.00 ,St. Ann,5,2,4,4,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,2,20%,"$1,497.60 ",Fast
92,CA-2016-109806,12/31/2019,1/5/2020,Jim Sink,Tara Courier-St. Ann,3,$624.00 ,St. Ann,5,2,4,4,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,1,0%,$624.00 ,Courteryous 
93,CA-2015-149587,5/15/2020,5/20/2020,Karl Braun,Ikpak shipping-Kingston,4,$700.00 ,Kingston,5,5,5, -   ,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,2,0%,"$1,400.00 ",Very Log Wait
94,CA-2015-149587,5/15/2020,5/20/2020,Karl Braun,Ikpak shipping-Kingston,4,$700.00 ,Kingston,5,5,5, -   ,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",3,0%,"$2,100.00 ",Quality Customer Service
95,CA-2015-149587,5/15/2020,5/20/2020,Karl Braun,Ikpak shipping-Kingston,4,$700.00 ,Kingston,5,5,5, -   ,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,2,0%,"$1,400.00 ",No Partking
96,US-2017-109484,2/18/2021,2/24/2021,Roger Barcio,Itz shipped-Kingston,10,$450.00 ,Kingston,5,5,4, -   ,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,1,70%,$765.00 ,Effeciency 
97,CA-2017-161018,2/21/2021,2/23/2021,Parhena Norris,Tara Courier-Portland,3,$624.00 ,Portland,2,2,5,4,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,7,0%,"$4,368.00 ",Speedy Devlivery 
98,CA-2017-157833,9/29/2020,10/2/2020,Katherine Ducich,Itz shipped-Kingston,10,$450.00 ,Kingston,5,5,4, -   ,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,3,20%,"$1,620.00 ",Cheapest Shipping Company
99,CA-2016-149223,12/20/2019,12/25/2019,Elpida Rittenbach,Press ship Ja-Kingston,5,$450.00 ,Kingston,2,3,3, -   ,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,6,0%,"$2,700.00 ",Cheapest Shipping Company
100,CA-2016-158568,12/12/2019,12/16/2019,Rick Bensley,Shipme-Kingston,7,$702.00 ,Kingston,4,2,5,3,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,7,20%,"$5,896.80 ",Very Log Wait
